year,num_ec,1_ec,-1_ec,sum_mood_ec,num_cb,1_cb,-1_cb,sum_mood_cb,mood_ec,mood_cb,mood_cb_without_mood_ec,indicator,indicator2
2014,3195,311,1921,-1180.1474364735186,2746,243,1663,-1046.5621791817248,-0.369373219553527,-0.38112242504796967,-0.011749205494442694,0.4970626986263893,0.49669913956507517
2015,4527,439,2896,-1801.2605121284723,3102,272,1912,-1187.0187452435493,-0.3978927572627507,-0.38266239369553495,0.015230363567215743,0.5038075908918039,0.5035130929445891
2016,5264,552,3286,-2023.5436459444463,4738,527,2921,-1768.938954476267,-0.3844117868435498,-0.3733514044905587,0.011060382352991116,0.5027650955882478,0.5035251029316103
2017,3570,323,2141,-1318.6224059313536,2450,185,1435,-898.102650180459,-0.36936201846816624,-0.36657251027773835,0.0027895081904278918,0.500697377047607,0.49975990396158465
2018,5753,508,3428,-2154.3882927782834,3016,295,1780,-1098.7611898221076,-0.3744808435213425,-0.3643107393309375,0.010170104190404983,0.5025425260476013,0.5037968167686471
2019,4235,520,2432,-1394.4842671975493,2312,231,1343,-806.9347809664905,-0.32927609615054293,-0.34902023398204607,-0.01974413783150314,0.49506396554212423,0.49262673469971363
2020,5084,564,2958,-1717.9335710145533,2890,320,1664,-975.420230075717,-0.3379098290744597,-0.3375156505452308,0.00039417852922890573,0.5000985446323072,0.50145929015379
2021,6254,674,3680,-2168.738027893007,3219,311,1923,-1159.7862578369677,-0.3467761477283349,-0.3602939601854513,-0.013517812457116363,0.4966205468857209,0.4949689359418857
2022,31795,4417,18043,-9932.10374860838,14320,1809,8372,-4760.594393312931,-0.31237942282146186,-0.3324437425497857,-0.020064319728323843,0.494983920067919,0.4925619733742964
2023,58015,9489,31977,-16819.873153798282,18654,2867,10552,-5730.4393889606,-0.2899228329535169,-0.3071962790265144,-0.017273446072997523,0.4956816384817506,0.49391197666748804
2024,72779,9640,40735,-22955.943331245333,17086,2286,9592,-5341.297910977155,-0.31541987841609986,-0.3126125430748657,0.002807335341234174,0.5007018338353085,0.49991270540737065
