post_id,text,comment_time,from_id
1441861,Очень жалею что УАЗИК И ЖИГУЛИ ПРОДАЛ!,1650428960,269778992
1441861,"А говорили,что доллар это резаная бумага.Оказалось что не резаная бумага",1650430549,271147969
1441861,"В суде решаются вопросы только с цивилизованными странами ,а с террористическими государствами как США только дубиной. Не возратят наше кровное- в труху. Не с теми связались. Нашли Банановые острова.",1650431776,589020069
1441861,"Маня, нас обокрали!!!",1650432396,645837071
1441861,И никто не расстрелян  и даже не сел...песня! Но мы вееерим...,1650432578,645837071
1441861,Не прячте ваши денежки по банкам и углам😄,1650434167,188418158
1441861,Самое главное - это то что те кто наложил это в других странах продолжают класть на страну на тех же должностях.,1650435637,710834865
1441861,Наебулина никчёмное животное,1650436690,855761
1441861,Америка наглая страна.....,1650438646,461553539
1441861,"а фсё, надо было раньше думать",1650441291,62269328
1441861,Пусть эта дура тут не прикидывается....,1650445209,255081899
925776,"Банки рухнут-им п...а 
ну и рупель с ними 
как обычно как всегда 
мы живём в России🤣 
😡(на депозитах лежит более 38 трлн.рублей вот чуток ростовщики доработают до соотношения 1 к 2 условно до 38 и 19 можно обнуляться.Заёмщики так и остались в долгу ,но банкиры западлянским вернули долги,народ в очередной раз окуел...Но вновь начнётся экономический рост,обусловленный новым витком потребления на вновь раздаваемые кредиты...До следующего раза.Но это уже будет прорыв к 2036🤣🤣🤣)",1562592795,21904820
925776,"Да поубивайте там уже друг друга, немощи, пока народ вас на вилах не вынес",1562592831,24297206
925776,"Орешкин ,как всегда ,пургу несет. Смешной он парень.",1562592839,150648578
925776,,1562592914,546609358
925776,"А в России всегда так:когда рост цен доходит практически до потолка,буквально не давая уже торгашам получать хоть какую то прибыль(о благосостоянии и возможности элементарно кушать простых смертных здесь речи вообще не идёт)-инфляция снижается и Росстат преподносит это как хорошую новость.Может и правда хорошая.Не сдохли,ведь.Или сдохли,но не все.",1562594404,379622292
925776,А толку. На бумаге только,1562594678,423800270
925776,"Не смешите народ. Что за странный показатель ""ваша инфляция""? Цены растут, а инфляция либо постоянна, либо, вот как сейчас, снизилась...Не раздражайте!!!",1562595786,61765703
925776,"Уважаемые читатели! 
 
Как стало известно, данные об уровне инфляции в июне были размещены раньше времени по вине одного из подведомственных учреждений Росстата, об этом сообщили в пресс-службе ведомства. 
 
""Росстат информирует о том, что публикация данных об уровне инфляции в июне ранее запланированного времени произошла по вине одного из подведомственных учреждений, направивших данные в Единую базу статистической информации (ЕБСД) до ее окончательного подтверждения"", - пояснили в пресс-службе. 
 
В Росстате планируют разработать регламент публикации данных, так как подобные сбои происходили и ранее. ""Это позволит снизить вероятность несанкционированного распространения информации и обеспечить ее полную верификацию. В настоящее время в Росстате начала действовать программа повышения внутренней эффективности, и улучшение процедуры публикации данных станет одним из важных шагов на этом пути"", - подчеркнули в пресс-службе.",1562598518,-73013298
925776,,1562598963,248305444
925776,"Чего-чего снизилось? Бензин? Продукты? Может, в наш город никто не ездит? Приезжайте в Архангельск. Мы покажем в магазинах и на заправках, на сколько выросли цены с мая сего года.",1562611419,159448756
925776,Центробанк он где? На другой  планете?,1562682411,276844512
1384537,"#StopWarInUkraine
10 марта разбомбили роддом в Мариуполе, поскольку русские пропагандисты решили влить в уши сограждан очередную порцию дерьма про огневые позиции...",1646864548,151208543
1122394,"Набиуллина не умеет в экономику, навряд ли снизит. Они не привыкли подстраиваться под реалии и принимать решения. #спасибопутинузаэто",1587616839,149078132
1122394,,1587616893,164060000
1122394,ничего нет! никакой поддержки! не киздиде.,1587617020,280444640
1122394,🤣😂🤣😂,1587618613,73840862
1122394,"Возьмите кредит, отдайте эти деньги людям просто так, как отпускные, при этом налоги с этого обязаны перечислить в бюджеты, через которые снабжается наше правительство. А чем и какими последними портянками будет рассчитываться бизнес с банками ? Даже при малых % убытки могут быть такими, что бизнес умрет сразу и никаких полгода не сможет ждать, пока вернутся покупатели",1587624995,343872157
1122394,Надо ЧС объявлять и поправки обратно затолкать,1587625330,31813275
1122394,"хорошему человеку и так дадут, а нехорошему могут и за деньги не продать",1587649061,108555361
